channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
23,26,27,21,28,22,26,22,
22,25,27,24,41,27,26,24,
24,25,25,25,47,44,27,26,
25,24,28,27,68,66,30,26,
23,28,26,28,84,82,30,26,
31,29,35,32,89,97,32,26,
36,34,35,30,86,97,31,26,
35,33,35,28,97,96,31,24,
37,35,37,26,88,93,31,23,
44,59,59,51,87,98,35,26,
39,61,60,52,89,121,35,29,
34,60,63,139,148,134,40,30,
35,62,64,182,153,150,46,40,
38,63,62,189,166,157,57,101,
40,42,59,189,191,155,74,185,
44,46,61,194,202,142,83,208,
51,56,67,161,175,141,92,219,
53,58,84,161,180,141,148,227,
62,69,91,183,205,168,172,231,
63,83,87,195,190,187,199,202,
70,82,87,249,204,186,214,184,
74,81,86,295,237,232,275,184,
84,82,78,385,250,329,305,191,
92,76,75,546,253,371,341,189,
95,81,70,556,289,389,355,169,
100,83,75,558,289,413,446,183,
117,82,82,654,329,434,461,195,
122,87,87,745,346,414,539,241,
132,96,88,752,374,421,671,327,
167,91,103,822,381,481,736,387,
192,100,104,920,518,502,788,457,
197,106,108,945,623,568,806,507,
253,132,138,930,638,602,831,538,
317,151,160,1000,649,644,769,613,
318,160,164,1083,746,728,783,640,
347,181,229,1185,789,756,812,716,
400,217,271,1364,835,815,888,892,
404,218,272,1375,905,875,917,935,
431,222,291,1348,997,820,1073,1035,
473,220,264,1318,1028,906,1154,1053,
608,256,274,1387,1093,994,1190,1140,
684,263,282,1359,1051,1070,1178,1212,
717,270,286,1403,1116,1082,1221,1315,
706,269,286,1404,1019,1096,1106,1289,
703,276,307,1378,952,1080,952,1372,
610,249,287,1205,869,979,1026,1361,
543,259,339,1131,675,946,1027,1140,
580,268,325,1255,648,988,1067,1173,
590,286,313,1265,597,1018,1125,1058,
576,280,351,1279,686,977,1033,1002,
530,246,304,1259,710,950,891,1016,
559,263,282,1266,766,859,843,1108,
520,250,277,1110,745,772,746,1052,
499,213,254,1062,723,717,687,1111,
510,238,205,1062,814,825,838,1183,
460,187,207,1124,783,881,890,1149,
497,209,222,1091,811,862,921,1212,
490,230,249,1237,867,911,902,1186,
474,239,258,1312,844,957,954,1131,
493,248,254,1255,776,869,989,1100,
498,271,257,1207,741,800,936,1076,
474,258,269,1297,773,866,921,1036,
440,240,260,1152,768,820,934,1000,
451,229,258,1091,825,898,810,969,
540,225,254,1058,675,936,792,1123,
553,221,282,1283,624,884,868,1141,
511,199,259,1253,488,811,798,1092,
374,181,306,1318,598,849,801,952,
488,231,299,1377,574,881,858,1071,
543,233,329,1418,642,887,892,1178,
684,287,308,1265,684,982,802,1295,
741,310,311,1286,736,935,941,1376,
748,305,268,1193,706,900,925,1384,
701,279,283,1208,767,925,936,1322,
649,273,240,1198,767,969,932,1197,
498,220,221,1098,760,930,968,1065,
491,200,210,1075,760,1051,941,1162,
518,216,211,1088,738,1118,987,1201,
486,195,203,956,708,1115,938,1168,
545,201,203,822,681,1109,1000,1207,
542,193,221,913,687,1121,1017,1202,
549,238,373,1088,775,1090,1140,1097,
568,248,371,1155,803,1057,1134,1139,
648,310,383,1191,845,1062,1237,1195,
605,308,373,1192,829,1052,1239,1095,
669,336,385,1194,829,1148,1332,1223,
628,324,276,1198,781,1108,1180,1202,
627,327,288,1173,825,1204,1206,1173,
612,329,279,1094,823,1293,1224,1199,
681,344,302,1114,864,1350,1211,1260,
663,337,303,1099,871,1288,1087,1238,
660,272,202,838,586,1176,1168,1276,
652,279,198,830,633,1156,1127,1230,
620,259,212,873,743,1090,1110,1194,
638,267,264,939,780,1239,1204,1191,
563,237,279,933,739,1134,1016,1073,
571,227,303,1045,797,1121,930,1094,
556,197,313,1183,858,1207,1073,1059,
560,202,304,1112,746,1122,1037,1165,
705,236,270,1195,763,1041,939,1190,
770,286,264,1205,761,1010,999,1249,
858,348,260,1200,753,1064,1114,1285,
957,399,305,1160,706,947,1139,1370,
1197,523,423,1301,731,1057,1198,1435,
1200,549,430,1233,662,993,1212,1392,
1300,578,435,1147,814,1065,1236,1541,
1291,559,442,1147,795,1111,1193,1564,
1243,531,485,1103,800,1206,1138,1530,
1135,446,407,985,866,1246,1194,1485,
1112,447,413,996,912,1247,1222,1445,
990,382,404,1016,790,1166,1148,1332,
969,394,440,945,749,1078,1192,1266,
1005,414,383,1062,729,1090,1151,1383,
945,426,474,1225,783,1021,1050,1425,
898,364,478,1280,797,1094,1023,1477,
929,430,483,1270,813,1142,1085,1454,
923,428,460,1276,815,1109,1025,1521,
899,452,513,1226,868,1022,1045,1501,
904,480,461,1113,868,1063,1115,1432,
937,465,511,1034,862,959,1033,1476,
959,458,505,1084,881,962,951,1473,
875,409,438,1039,830,967,929,1297,
859,345,435,1079,813,851,864,1289,
710,295,356,1075,732,830,859,1223,
825,356,351,1177,786,801,893,1231,
834,388,338,1211,875,950,1094,1258,
874,390,322,1218,890,942,1104,1320,
895,438,389,1193,887,992,1114,1373,
880,426,395,1178,947,1009,1119,1335,
500,189,195,632,594,348,388,531,
443,151,119,319,358,192,202,410,
395,120,106,209,248,139,159,371,
386,124,95,297,331,132,298,364,
309,118,85,298,443,126,302,352,
313,114,108,341,597,181,422,293,
474,177,197,507,698,274,465,386,
550,267,274,666,842,382,579,440,
233,177,206,601,622,316,253,211,
159,131,177,538,757,279,196,185,
142,127,165,489,733,272,175,169,
107,106,167,445,877,217,172,135,
115,115,180,457,812,231,185,133,
113,110,170,373,751,222,149,111,
129,106,167,362,719,223,147,108,
134,104,167,359,608,210,179,145,
124,89,131,317,504,190,162,124,
146,66,94,269,465,149,145,120,
150,66,94,265,470,145,145,120,
175,62,86,270,521,132,142,119,
165,71,100,269,523,209,165,103,
163,55,83,214,510,195,160,103,
135,55,83,207,548,199,159,98,
103,65,90,192,563,208,158,97,
98,58,69,173,488,139,82,55,
95,54,57,155,451,107,65,48,
98,60,67,161,399,112,66,53,
61,60,61,151,246,98,66,47,
55,53,58,134,241,91,55,43,
48,50,59,109,212,72,50,43,
45,51,61,103,210,72,50,42,
34,39,49,87,209,33,30,29,
32,39,55,111,197,28,30,29,
34,45,61,123,189,28,29,25,
37,45,62,133,158,27,28,24,
36,45,61,126,203,29,29,23,
35,45,60,128,192,30,29,24,
39,46,54,102,195,29,27,27,
37,45,49,87,198,29,26,27,
34,42,44,62,200,26,25,28,
31,40,45,67,116,26,24,27,
32,44,44,60,168,25,24,27,
30,40,46,64,173,26,25,24,
32,37,46,62,171,25,27,26,
31,39,47,63,174,27,25,25,
31,38,42,59,185,28,25,24,
30,31,40,60,145,28,24,23,
28,35,39,66,132,28,24,25,
29,33,41,80,129,29,21,25,
29,33,40,93,123,28,27,26,
33,40,49,96,75,24,27,26,
34,42,58,131,61,24,28,26,
34,43,62,134,60,23,27,24,
34,45,59,131,64,23,28,23,
35,45,61,123,64,23,24,23,
33,40,59,120,63,25,23,25,
36,43,53,83,57,24,22,25,
36,41,48,67,57,26,24,25,
36,46,48,55,49,26,23,25,
36,46,48,52,33,25,23,25,
33,48,42,46,35,24,24,23,
30,47,42,48,34,24,24,22,
34,53,62,69,39,24,22,24,
32,48,64,77,39,22,22,24,
35,48,63,84,37,25,24,25,
36,49,69,82,38,25,25,27,
32,42,52,66,31,25,28,26,
30,39,42,57,35,26,27,23,
31,39,49,99,48,26,23,24,
31,41,50,103,50,27,24,25,
29,38,50,100,49,28,23,24,
27,38,54,102,50,27,23,24,
25,37,45,102,50,27,22,23,
26,37,44,59,38,28,25,24,
28,37,43,48,35,25,26,24,
30,34,43,55,35,25,26,23,
31,35,41,65,35,26,27,25,
30,34,43,63,34,27,26,24,
29,37,44,74,33,26,24,22,
29,43,45,77,32,26,23,22,
26,42,43,72,30,25,24,22,
29,42,39,62,32,22,24,21,
30,42,48,108,46,22,24,22,
