channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
281,271,450,1053,1039,728,500,405,
284,244,405,998,1004,699,470,432,
254,235,398,972,1016,688,443,425,
248,241,411,951,988,683,475,500,
198,262,441,865,936,762,530,473,
209,297,504,949,1062,773,528,418,
208,313,534,1020,1052,763,523,456,
209,269,464,980,1096,708,440,435,
278,361,590,1064,1134,815,489,429,
285,369,596,1084,1100,812,484,418,
273,336,535,1027,968,773,454,393,
251,298,459,889,963,697,376,316,
231,306,495,1018,938,637,379,297,
138,186,326,1032,758,481,294,420,
114,162,303,1000,720,393,259,435,
112,159,302,988,653,364,252,432,
103,147,305,992,543,348,247,431,
89,105,219,913,372,290,220,368,
54,76,192,746,279,194,282,191,
50,72,189,751,249,209,342,149,
53,69,176,673,232,205,355,138,
50,42,89,385,119,186,346,107,
48,36,60,281,92,134,258,90,
46,36,58,208,68,90,154,61,
36,34,58,204,68,71,98,35,
32,31,55,189,50,36,46,27,
30,29,54,110,40,26,28,23,
28,25,45,91,43,27,27,24,
34,29,58,111,44,28,25,25,
31,26,53,105,45,27,24,23,
31,27,53,110,39,27,26,24,
33,29,53,110,36,26,24,26,
33,31,51,113,32,26,24,24,
28,26,34,106,33,25,24,24,
31,29,41,103,32,28,24,24,
33,30,42,99,31,25,23,23,
33,33,51,107,33,25,23,24,
33,30,51,101,31,24,23,23,
35,33,49,107,32,26,24,22,
36,30,42,111,32,23,24,21,
38,29,42,108,33,26,25,23,
40,27,36,119,32,24,27,23,
38,27,35,115,35,25,27,23,
36,26,38,95,31,26,27,26,
33,26,36,95,29,22,25,23,
33,25,32,67,29,26,24,23,
37,29,32,74,25,24,24,24,
37,29,30,80,26,23,26,25,
35,28,27,74,26,23,25,23,
34,29,35,87,30,25,26,26,
29,30,34,102,33,22,24,25,
27,28,34,93,34,22,25,27,
27,27,32,86,34,24,24,27,
31,27,31,77,28,23,23,21,
30,26,29,75,30,23,23,22,
33,33,31,58,27,24,23,22,
32,31,29,60,23,22,24,22,
31,31,28,92,27,22,22,23,
31,30,24,98,31,22,22,23,
23,27,24,78,33,26,25,23,
21,26,26,70,31,25,25,27,
26,25,26,68,30,25,25,26,
26,26,25,68,31,24,25,27,
28,23,22,56,28,21,26,25,
31,25,23,35,27,55,29,25,
33,25,22,29,28,80,31,23,
31,25,21,28,27,83,32,24,
29,22,25,71,27,87,31,22,
26,21,28,72,28,71,27,22,
23,21,28,81,27,42,23,22,
22,21,29,84,29,36,23,21,
23,23,27,68,29,26,21,22,
23,24,26,59,27,27,22,24,
22,25,26,59,27,26,22,25,
23,25,24,46,29,25,23,24,
24,25,26,46,29,23,23,27,
23,24,25,57,31,23,24,24,
22,24,27,61,29,23,23,24,
23,24,24,61,29,25,26,22,
22,23,24,61,29,25,26,23,
24,22,22,57,27,25,26,23,
24,24,22,59,27,26,24,23,
24,23,24,56,28,26,26,23,
22,25,27,61,29,28,24,22,
22,23,26,64,30,27,25,22,
24,26,25,70,77,31,24,22,
31,37,46,186,555,185,149,62,
45,47,66,285,651,231,282,293,
68,84,109,369,914,405,383,405,
91,110,151,521,1033,533,483,424,
118,155,225,696,1087,728,649,529,
163,202,308,919,1109,832,675,608,
207,227,344,1038,1159,1036,749,619,
239,280,427,1111,1215,1104,767,640,
246,299,451,1134,1247,1078,702,602,
227,280,418,1034,1229,1050,706,580,
219,285,432,1042,1146,1087,610,589,
216,289,433,1010,1193,1039,621,561,
181,237,349,990,1155,1019,602,602,
162,202,300,923,1094,976,564,577,
164,192,280,872,1145,976,520,534,
198,194,274,839,1144,881,559,534,
204,208,300,850,1140,933,544,492,
234,276,397,888,1140,974,587,469,
238,273,398,883,1169,1031,617,531,
250,333,492,1031,1099,1063,706,569,
221,344,508,1064,1134,1082,723,616,
213,328,478,1036,1082,984,748,602,
185,279,415,964,1093,875,717,557,
244,310,454,1068,1164,885,752,516,
230,254,367,920,1195,813,686,473,
231,237,349,899,1103,911,622,424,
246,260,391,1004,1129,886,636,476,
304,320,486,1119,1085,945,611,553,
295,354,534,1122,1152,975,610,561,
301,396,600,1175,1247,892,714,526,
245,344,513,1017,1253,861,719,521,
210,275,415,901,1146,718,648,501,
221,292,437,909,1224,771,674,497,
270,299,445,1009,1099,868,645,514,
254,199,286,890,1062,871,592,537,
263,229,335,993,1115,911,591,608,
277,235,339,997,1117,987,599,599,
277,215,308,979,937,880,631,458,
285,232,336,994,933,883,656,420,
298,264,373,1043,1077,847,613,403,
288,254,362,949,1078,826,617,430,
289,296,431,1051,1151,866,625,459,
303,273,395,1029,1190,802,637,456,
278,242,359,982,1151,786,652,453,
276,249,369,966,1230,825,618,432,
275,192,264,839,1244,730,551,464,
309,216,312,829,1282,751,514,430,
326,236,346,909,1199,775,545,507,
338,227,348,972,1114,792,579,509,
319,243,380,1035,1241,802,610,498,
277,214,337,977,1242,728,569,516,
335,241,378,1054,1250,832,634,525,
320,238,374,986,1317,804,633,473,
316,248,379,945,1355,816,607,494,
359,220,338,865,1229,789,572,480,
374,217,334,895,1313,814,561,512,
312,217,334,834,1245,781,510,485,
332,226,346,849,1241,852,470,461,
321,213,324,804,1172,826,463,406,
241,255,377,769,1059,1037,574,371,
291,245,345,794,1132,1062,570,344,
289,263,357,794,1220,1040,599,430,
328,256,330,772,1275,875,538,441,
328,254,336,799,1313,853,566,519,
301,242,330,783,1250,820,521,564,
289,245,361,941,1252,792,514,553,
281,265,381,913,1287,787,467,464,
363,313,450,957,1232,772,566,439,
394,302,429,902,1168,877,571,418,
375,293,413,821,1084,876,567,487,
455,355,486,907,1176,887,632,505,
453,356,490,1018,1128,971,663,515,
380,330,457,1036,1152,949,600,517,
372,354,482,1066,1123,942,695,626,
384,351,484,1054,1192,1016,730,600,
289,292,420,971,1132,1042,663,583,
357,291,423,876,1090,973,655,632,
373,281,398,770,1179,1008,741,641,
349,236,345,708,1157,948,648,531,
315,276,372,851,1118,782,620,416,
338,330,472,1005,1099,876,567,410,
328,327,469,997,1054,836,543,390,
311,302,429,944,1033,789,483,372,
104,119,186,774,708,404,154,139,
81,98,162,949,482,277,108,92,
43,43,80,795,308,177,53,40,
33,38,66,716,278,183,98,36,
36,35,59,636,231,224,208,72,
38,34,44,502,175,217,234,82,
38,32,38,441,144,218,247,96,
45,34,43,453,143,259,295,195,
48,37,43,442,139,254,367,210,
43,33,37,205,58,180,307,200,
38,33,29,133,43,107,261,109,
33,28,27,121,39,88,120,78,
46,36,34,107,37,58,54,56,
46,37,36,103,31,53,45,52,
46,43,48,104,33,46,42,43,
53,59,66,97,35,37,38,37,
54,61,70,101,35,30,34,33,
48,57,70,97,33,29,34,29,
50,58,71,91,34,30,32,31,
50,55,63,74,35,29,33,32,
44,43,46,81,32,26,31,29,
46,43,43,76,36,25,27,30,
52,44,44,81,35,26,31,37,
57,52,43,84,33,26,31,41,
58,51,46,104,39,28,35,43,
57,51,48,103,41,27,35,45,
44,58,57,102,38,25,24,34,
43,54,56,94,35,25,23,29,
43,53,57,102,34,24,24,31,
53,52,55,131,39,20,23,30,
53,50,54,142,41,20,24,30,
56,50,55,153,44,22,27,31,
50,60,70,129,46,30,28,32,
46,57,67,122,41,27,24,31,
47,59,71,168,45,24,26,31,
44,56,67,195,52,25,25,29,
42,50,60,204,52,23,25,27,
42,48,61,214,52,22,25,26,
41,50,69,219,54,24,28,27,
36,43,67,179,46,24,24,25,
36,45,76,178,40,23,24,26,
32,42,75,162,38,26,24,27,
35,43,76,152,42,27,24,26,
37,46,70,154,40,24,24,26,
33,41,61,157,45,24,25,25,
35,42,55,124,42,24,27,24,
38,44,55,117,40,21,24,23,
38,49,60,113,41,23,25,23,
37,43,67,103,42,23,25,24,
37,45,68,164,44,26,23,24,
35,42,66,168,45,26,26,25,
33,37,63,173,44,26,24,26,
30,34,55,205,49,28,24,25,
32,48,68,234,57,29,26,26,
33,55,74,233,57,28,25,25,
33,57,78,205,48,29,27,27,
34,57,81,214,50,28,26,27,
29,48,70,210,51,27,24,26,
30,46,63,222,54,28,25,26,
30,38,59,201,53,28,24,27,
30,36,53,199,55,25,20,24,
28,35,50,189,53,24,23,23,
28,38,49,168,51,24,24,23,
31,39,55,186,49,22,24,22,
37,42,60,161,107,24,25,24,
40,43,68,164,107,26,25,24,
41,45,68,204,115,26,24,27,
41,42,67,213,117,26,25,27,
41,41,62,189,148,29,26,27,
34,35,59,196,124,31,27,27,
31,35,51,202,124,32,28,26,
31,34,52,152,117,30,27,25,
35,40,61,149,118,31,26,26,
32,38,59,155,113,29,23,25,
33,41,57,152,133,29,23,26,
35,47,75,174,340,95,36,31,
36,56,92,214,413,119,44,35,
33,53,90,246,566,137,47,35,
36,59,101,313,669,151,100,45,
45,63,104,343,845,190,109,53,
191,82,135,564,1006,283,189,204,
407,115,218,663,1021,451,221,247,
427,134,226,830,1182,484,236,267,
769,210,342,1151,1279,640,382,295,
753,243,363,1168,1348,732,404,312,
859,254,365,1169,1310,848,459,354,
911,330,505,1236,1299,978,498,383,
865,365,566,1274,1303,1018,565,470,
853,376,596,1285,1334,1089,605,500,
905,355,580,1302,1342,1041,595,495,
913,346,586,1245,1324,972,554,460,
875,289,483,1153,1235,925,500,435,
892,256,446,1120,1217,988,477,461,
874,219,370,1041,1192,919,428,387,
821,228,367,1095,1112,903,427,386,
757,234,369,1134,1101,908,482,394,
801,247,380,1074,1110,836,481,445,
692,247,343,995,1136,768,437,345,
696,275,387,1041,1063,730,455,362,
822,273,406,984,1074,881,489,449,
859,255,384,1068,1210,936,492,481,
947,256,412,1169,1157,932,530,512,
825,256,423,1073,1182,890,514,452,
712,284,498,1002,1054,948,498,394,
614,278,470,870,1043,946,433,316,
659,244,412,893,1273,922,342,333,
551,254,424,942,1321,921,373,368,
591,289,433,906,1191,851,330,352,
590,253,341,899,1237,695,349,331,
569,250,364,945,1312,675,384,385,
565,240,347,873,1127,622,413,358,
559,221,335,861,1110,572,394,321,
485,186,319,883,1195,588,401,425,
469,181,298,871,1178,602,391,426,
547,172,283,1113,1111,688,458,540,
526,210,350,1152,1128,738,504,552,
600,227,353,1223,1233,752,570,488,
715,240,391,1323,1299,805,580,558,
683,260,409,1350,1347,755,538,523,
657,273,435,1261,1374,747,533,473,
741,248,377,1223,1316,668,495,519,
677,225,358,1191,1268,738,513,543,
561,228,340,1133,1231,796,488,488,
574,211,315,1095,1204,793,517,466,
527,201,290,1031,1184,795,509,444,
390,194,292,1112,1221,782,535,413,
685,195,333,1221,1196,686,531,552,
775,198,358,1311,1236,702,564,648,
816,208,377,1302,1248,738,547,640,
787,211,388,1302,1167,735,506,663,
779,194,368,1364,1187,791,481,660,
670,196,365,1271,1135,716,458,613,
586,191,350,1268,1237,756,423,514,
482,188,316,1130,1092,663,473,457,
494,213,377,1225,1075,675,494,443,
550,200,350,1103,984,563,505,513,
488,215,364,1065,1075,612,506,499,
487,227,377,1074,1127,639,547,530,
520,218,374,1095,1157,600,554,450,
579,231,370,958,1189,651,628,486,
514,254,415,996,1214,706,611,424,
502,244,405,982,1198,660,582,419,
541,237,404,1077,1213,648,539,415,
517,241,391,1000,1229,791,522,422,
469,201,340,979,1267,761,446,406,
480,204,321,987,1222,720,521,394,
530,241,407,1055,1175,780,541,391,
508,274,452,992,1104,797,570,359,
497,271,451,1030,1044,691,584,380,
522,282,456,1000,1002,706,609,377,
496,281,465,1057,947,731,555,379,
466,253,404,1014,955,670,513,406,
598,217,365,947,993,653,542,429,
539,225,392,1003,946,637,485,408,
576,203,361,896,928,657,464,411,
616,212,356,867,1001,662,488,363,
576,235,401,939,1001,759,493,347,
488,226,363,895,1051,744,401,296,
475,211,330,818,996,740,416,269,
422,203,310,825,976,680,413,255,
313,179,277,759,807,649,368,254,
167,96,150,640,599,341,176,177,
132,89,140,570,544,309,146,125,
113,85,139,586,492,235,94,88,
98,81,167,723,518,225,84,62,
77,71,147,706,465,218,67,53,
71,75,149,654,432,209,70,45,
65,77,152,649,411,199,69,40,
56,74,149,630,393,192,68,40,
60,64,90,417,175,114,83,37,
53,60,83,323,142,104,90,35,
47,60,89,386,136,94,94,34,
47,58,84,382,134,91,115,37,
49,57,86,336,119,124,122,36,
51,51,86,337,109,120,115,36,
49,50,85,306,101,143,118,38,
50,44,67,219,91,151,123,40,
50,46,69,192,92,156,105,38,
46,42,61,174,84,128,95,36,
37,37,48,165,77,126,84,34,
39,36,45,150,76,94,66,30,
43,34,48,135,67,78,39,26,
43,32,40,130,44,63,28,24,
42,32,40,138,51,58,26,25,
38,37,49,125,60,36,26,26,
37,38,50,121,60,36,27,26,
38,39,51,112,51,35,27,30,
39,43,65,257,67,34,27,31,
47,49,74,285,86,35,27,32,
43,44,75,287,88,42,27,31,
45,47,73,291,91,41,27,32,
45,46,73,294,93,39,26,29,
46,42,54,169,76,39,25,27,
42,38,42,113,50,34,26,25,
40,36,32,115,44,23,22,24,
38,31,33,107,38,21,21,21,
40,31,33,96,32,21,21,24,
44,34,31,90,30,19,22,24,
45,36,36,77,29,23,23,28,
46,36,42,95,26,23,24,29,
45,36,43,110,33,34,29,30,
45,40,45,134,44,67,44,30,
42,40,51,171,55,125,46,28,
34,34,47,187,59,139,46,24,
34,33,41,177,59,145,47,23,
48,32,37,151,49,137,31,27,
47,31,34,131,39,91,28,31,
48,30,31,106,34,67,28,30,
49,37,34,110,35,56,25,32,
34,33,32,109,35,46,25,30,
35,34,33,106,34,38,25,29,
35,35,30,81,31,32,25,26,
42,47,30,80,29,30,23,28,
39,41,28,64,27,27,23,27,
38,42,29,61,24,25,22,27,
40,41,30,68,25,27,22,28,
47,41,28,62,27,27,23,27,
44,27,29,61,29,26,25,24,
43,28,28,55,27,24,26,23,
38,30,28,69,28,23,25,24,
39,31,26,71,29,21,23,22,
39,33,27,71,26,22,24,21,
37,33,26,72,26,23,25,21,
36,33,26,75,27,24,23,22,
