channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
24,25,22,24,23,24,23,19,Rest
21,25,23,23,23,23,22,21,Rest
22,27,23,25,25,21,23,24,Rest
22,26,23,24,26,22,24,25,Rest
20,26,27,25,24,23,24,24,Rest
20,24,27,24,24,23,24,23,Rest
22,27,26,23,24,25,23,22,Rest
23,28,28,23,24,27,23,22,Rest
24,24,24,26,28,22,22,23,Rest
24,25,21,27,28,20,22,24,Rest
24,26,21,27,29,22,24,24,Rest
25,30,22,25,27,25,25,23,Rest
26,28,23,23,26,23,24,24,Rest
28,29,27,24,22,25,22,22,Rest
26,26,25,25,23,23,20,23,Rest
27,30,25,24,23,23,21,21,Rest
22,29,25,24,22,25,24,22,Rest
22,28,24,23,23,23,22,21,Rest
23,28,24,21,26,23,24,23,Rest
23,27,23,22,26,22,25,23,Rest
24,26,24,23,22,22,25,25,Rest
22,28,25,25,21,22,24,24,Rest
21,29,26,26,22,22,23,25,Rest
22,26,27,25,23,22,24,24,Rest
22,28,25,28,25,22,24,23,Rest
22,28,26,28,26,23,23,22,Rest
22,26,27,28,26,23,22,23,Rest
23,24,27,26,24,25,22,22,Rest
22,24,25,26,23,25,22,24,Rest
22,24,26,23,24,24,20,23,Rest
22,25,27,23,25,23,22,22,Rest
23,29,27,25,27,22,23,22,Rest
22,28,26,24,26,19,23,22,Rest
23,28,29,22,24,22,21,23,Rest
23,29,28,23,26,21,23,22,Rest
22,28,28,23,25,22,22,24,Rest
21,26,27,22,24,22,22,23,Rest
22,26,28,23,24,23,24,22,Rest
21,25,26,23,25,22,25,22,Rest
24,27,24,24,24,22,23,23,Rest
22,25,24,22,25,25,22,28,Rest
22,25,23,20,25,26,21,27,Rest
22,22,22,21,25,27,23,27,Rest
23,23,25,20,25,26,23,27,Rest
23,23,27,22,22,21,21,20,Rest
22,22,26,22,22,22,22,22,Rest
22,25,23,23,24,22,22,23,Rest
21,25,24,24,24,22,23,25,Rest
20,25,25,24,24,24,23,27,Rest
19,24,26,24,24,24,24,28,Rest
19,25,25,25,24,23,25,27,Rest
17,24,26,23,24,26,25,28,Rest
19,24,27,23,22,26,24,27,Rest
22,24,25,23,22,27,24,25,Rest
22,27,26,22,21,27,23,25,Rest
24,26,26,22,20,27,21,24,Rest
24,28,25,22,19,23,21,22,Rest
23,26,26,20,20,22,20,22,Rest
21,25,27,23,20,22,20,23,Rest
23,23,25,23,21,22,22,20,Rest
22,25,25,22,23,23,22,22,Rest
24,25,27,23,23,23,24,23,Rest
25,25,26,24,23,24,24,22,Rest
25,25,25,21,22,21,25,21,Rest
26,25,25,23,22,23,23,23,Rest
25,24,24,23,22,23,23,22,Rest
25,22,23,23,21,22,21,22,Rest
25,23,22,21,22,24,23,23,Rest
24,25,24,20,22,25,22,25,Rest
